36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:15:32.0 (73011)|USER_INFO|[EXTERNAL]|0056F000008202z|s023879@au-portal.local.fullsand|日本標準時|GMT+09:00
17:15:32.0 (101837)|EXECUTION_STARTED
17:15:32.0 (106591)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqc|VF: /apex/saHearingListForAdmin
17:15:32.0 (17496040)|SYSTEM_MODE_ENTER|true
17:15:32.0 (17773401)|VARIABLE_SCOPE_BEGIN|[39]|saHearingListForAdminCtl.BASE_QUERY_STRING|String|false|true
17:15:32.0 (17790966)|VARIABLE_SCOPE_BEGIN|[45]|saHearingListForAdminCtl.QUERY_LIMIT|String|false|true
17:15:32.0 (17800148)|VARIABLE_SCOPE_BEGIN|[46]|saHearingListForAdminCtl.QUERY_LIMIT_MAX|String|false|true
17:15:32.0 (17807429)|VARIABLE_SCOPE_BEGIN|[44]|saHearingListForAdminCtl.SELECTOPTION_ALL|String|false|true
17:15:32.0 (17814038)|VARIABLE_SCOPE_BEGIN|[43]|saHearingListForAdminCtl.SELECTOPTION_LASTMODIFIED|String|false|true
17:15:32.0 (17851357)|VARIABLE_SCOPE_BEGIN|[55]|saHearingListForAdminCtl.targetRecordsOption|List<System.SelectOption>|true|true
17:15:32.0 (17948026)|HEAP_ALLOCATE|[72]|Bytes:3
17:15:32.0 (17973166)|HEAP_ALLOCATE|[77]|Bytes:152
17:15:32.0 (17984120)|HEAP_ALLOCATE|[342]|Bytes:408
17:15:32.0 (17996135)|HEAP_ALLOCATE|[355]|Bytes:408
17:15:32.0 (18008044)|HEAP_ALLOCATE|[467]|Bytes:48
17:15:32.0 (18028685)|HEAP_ALLOCATE|[139]|Bytes:6
17:15:32.0 (18042760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:364
17:15:32.0 (18049672)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:114
17:15:32.0 (18054536)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:15:32.0 (18059323)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:15:32.0 (18084751)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saHearingListForAdminCtl.QUERY_LIMIT|"1000"
17:15:32.0 (18090618)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:15:32.0 (18099940)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saHearingListForAdminCtl.QUERY_LIMIT_MAX|"10000"
17:15:32.0 (18104423)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
17:15:32.0 (18110257)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saHearingListForAdminCtl.SELECTOPTION_ALL|"2"
17:15:32.0 (18114449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
17:15:32.0 (18119979)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saHearingListForAdminCtl.SELECTOPTION_LASTMODIFIED|"1"
17:15:32.0 (18131108)|METHOD_ENTRY|[1]|01p6F000006sUQs|saHearingListForAdminCtl.saHearingListForAdminCtl()
17:15:32.0 (18137165)|STATEMENT_EXECUTE|[1]
17:15:32.0 (18141883)|STATEMENT_EXECUTE|[1]
17:15:32.0 (18171527)|HEAP_ALLOCATE|[50]|Bytes:5
17:15:32.0 (18189372)|HEAP_ALLOCATE|[56]|Bytes:5
17:15:32.0 (18196808)|HEAP_ALLOCATE|[64]|Bytes:7
17:15:32.0 (18211452)|SYSTEM_MODE_ENTER|false
17:15:32.0 (18220685)|HEAP_ALLOCATE|[39]|Bytes:5
17:15:32.0 (18225762)|STATEMENT_EXECUTE|[39]
17:15:32.0 (18228599)|HEAP_ALLOCATE|[39]|Bytes:301
17:15:32.0 (18240566)|VARIABLE_ASSIGNMENT|[39]|saHearingListForAdminCtl.BASE_QUERY_STRING|"SELECT RegionalOffic (281 more) ..."
17:15:32.0 (18245600)|STATEMENT_EXECUTE|[56]
17:15:32.0 (18247242)|STATEMENT_EXECUTE|[57]
17:15:32.0 (18256251)|HEAP_ALLOCATE|[57]|Bytes:4
17:15:32.0 (18317068)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:15:32.0 (18330780)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x323d708e
17:15:32.0 (18344448)|VARIABLE_ASSIGNMENT|[55]|saHearingListForAdminCtl.targetRecordsOption|[]|0x323d708e
17:15:32.0 (18355543)|STATEMENT_EXECUTE|[58]
17:15:32.0 (18384084)|HEAP_ALLOCATE|[58]|Bytes:9
17:15:32.0 (18416020)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:15:32.0 (18423747)|STATEMENT_EXECUTE|[59]
17:15:32.0 (18442676)|HEAP_ALLOCATE|[59]|Bytes:5
17:15:32.0 (18458808)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:15:32.0 (18469467)|SYSTEM_MODE_EXIT|false
17:15:32.0 (18478933)|METHOD_EXIT|[1]|saHearingListForAdminCtl
17:15:32.0 (18542833)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
17:15:32.0 (18550647)|VARIABLE_SCOPE_BEGIN|[123]|this|saHearingListForAdminCtl|true|false
17:15:32.0 (18626288)|VARIABLE_ASSIGNMENT|[123]|this|{}|0x6e08e222
17:15:32.0 (18640675)|SYSTEM_MODE_ENTER|false
17:15:32.0 (18647550)|HEAP_ALLOCATE|[8]|Bytes:5
17:15:32.0 (18652473)|STATEMENT_EXECUTE|[1]
17:15:32.0 (18656195)|HEAP_ALLOCATE|[8]|Bytes:5
17:15:32.0 (18659286)|STATEMENT_EXECUTE|[5]
17:15:32.0 (18660925)|STATEMENT_EXECUTE|[8]
17:15:32.0 (18670096)|VARIABLE_ASSIGNMENT|[8]|this.conditionStr|null|0x6e08e222
17:15:32.0 (18675542)|STATEMENT_EXECUTE|[10]
17:15:32.0 (18680734)|VARIABLE_ASSIGNMENT|[10]|this.orderBy|null|0x6e08e222
17:15:32.0 (18686234)|STATEMENT_EXECUTE|[12]
17:15:32.0 (18690226)|VARIABLE_ASSIGNMENT|[12]|this.limitStr|null|0x6e08e222
17:15:32.0 (18695320)|STATEMENT_EXECUTE|[14]
