36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:05:39.0 (69675)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi.fullsand|日本標準時|GMT+09:00
16:05:39.0 (103378)|EXECUTION_STARTED
16:05:39.0 (107774)|CODE_UNIT_STARTED|[EXTERNAL]|0666F0000066wqY|VF: /apex/sadailyreporteditorforadmin
16:05:39.0 (28010330)|SYSTEM_MODE_ENTER|true
16:05:39.0 (28299787)|HEAP_ALLOCATE|[72]|Bytes:3
16:05:39.0 (28348909)|HEAP_ALLOCATE|[77]|Bytes:152
16:05:39.0 (28364988)|HEAP_ALLOCATE|[342]|Bytes:408
16:05:39.0 (28377861)|HEAP_ALLOCATE|[355]|Bytes:408
16:05:39.0 (28388877)|HEAP_ALLOCATE|[467]|Bytes:48
16:05:39.0 (28417618)|HEAP_ALLOCATE|[139]|Bytes:6
16:05:39.0 (28450232)|VARIABLE_SCOPE_BEGIN|[10]|saDailyReportEditorForAdminCtl.CALL_TYPE_AU_HEARING|String|false|true
16:05:39.0 (28459846)|VARIABLE_SCOPE_BEGIN|[8]|saDailyReportEditorForAdminCtl.CALL_TYPE_DAILYREPORT|String|false|true
16:05:39.0 (28474127)|VARIABLE_SCOPE_BEGIN|[9]|saDailyReportEditorForAdminCtl.CALL_TYPE_SANX_HEARING|String|false|true
16:05:39.0 (28481411)|VARIABLE_SCOPE_BEGIN|[3]|saDailyReportEditorForAdminCtl.PARAM_ID|String|false|true
16:05:39.0 (28488526)|VARIABLE_SCOPE_BEGIN|[4]|saDailyReportEditorForAdminCtl.SCROLL_TOP|String|false|true
16:05:39.0 (28495143)|VARIABLE_SCOPE_BEGIN|[6]|saDailyReportEditorForAdminCtl.URL_PARAM_NAME_CALLTYPE|String|false|true
16:05:39.0 (28501481)|VARIABLE_SCOPE_BEGIN|[5]|saDailyReportEditorForAdminCtl.URL_PARAM_NAME_ISCOPY|String|false|true
16:05:39.0 (28507764)|VARIABLE_SCOPE_BEGIN|[12]|saDailyReportEditorForAdminCtl.USER_BASE_QUERY|String|false|true
16:05:39.0 (28514007)|VARIABLE_SCOPE_BEGIN|[13]|saDailyReportEditorForAdminCtl.USER_BASE_QUERY_SA|String|false|true
16:05:39.0 (28566621)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:48
16:05:39.0 (28574644)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:740
16:05:39.0 (28579194)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:277
16:05:39.0 (28584259)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:54
16:05:39.0 (28588741)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:05:39.0 (28610445)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.CALL_TYPE_AU_HEARING|"3"
16:05:39.0 (28616448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:05:39.0 (28623832)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.CALL_TYPE_DAILYREPORT|"1"
16:05:39.0 (28629745)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:05:39.0 (28635477)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.CALL_TYPE_SANX_HEARING|"2"
16:05:39.0 (28640867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
16:05:39.0 (28646771)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.PARAM_ID|"id"
16:05:39.0 (28650936)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
16:05:39.0 (28656567)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.SCROLL_TOP|"top"
16:05:39.0 (28660759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:05:39.0 (28666333)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.URL_PARAM_NAME_CALLTYPE|"type"
16:05:39.0 (28670587)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
16:05:39.0 (28676378)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.URL_PARAM_NAME_ISCOPY|"isCopy"
16:05:39.0 (28680255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:100
16:05:39.0 (28689473)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.USER_BASE_QUERY|" SELECT id, Name, Pr (80 more) ..."
16:05:39.0 (28694550)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:220
16:05:39.0 (28702407)|VARIABLE_ASSIGNMENT|[EXTERNAL]|saDailyReportEditorForAdminCtl.USER_BASE_QUERY_SA|" SELECT id, (Select  (200 more) ..."
16:05:39.0 (28714811)|METHOD_ENTRY|[1]|01p6F000006sUQn|saDailyReportEditorForAdminCtl.saDailyReportEditorForAdminCtl()
16:05:39.0 (28725108)|STATEMENT_EXECUTE|[1]
16:05:39.0 (28731024)|STATEMENT_EXECUTE|[1]
16:05:39.0 (28766908)|HEAP_ALLOCATE|[50]|Bytes:5
16:05:39.0 (28792944)|HEAP_ALLOCATE|[56]|Bytes:5
16:05:39.0 (28801034)|HEAP_ALLOCATE|[64]|Bytes:7
16:05:39.0 (28817461)|SYSTEM_MODE_ENTER|false
16:05:39.0 (28830220)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:05:39.0 (28835008)|STATEMENT_EXECUTE|[1322]
16:05:39.0 (28837119)|STATEMENT_EXECUTE|[1879]
16:05:39.0 (28839073)|STATEMENT_EXECUTE|[1927]
16:05:39.0 (28844293)|SYSTEM_MODE_EXIT|false
16:05:39.0 (28852014)|METHOD_EXIT|[1]|saDailyReportEditorForAdminCtl
16:05:39.0 (28858738)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:156
16:05:39.0 (28865212)|VARIABLE_SCOPE_BEGIN|[93]|this|saDailyReportEditorForAdminCtl|true|false
16:05:39.0 (28938375)|VARIABLE_ASSIGNMENT|[93]|this|{}|0x2b9e8964
16:05:39.0 (28951031)|SYSTEM_MODE_ENTER|false
16:05:39.0 (28956329)|HEAP_ALLOCATE|[59]|Bytes:5
16:05:39.0 (28960970)|STATEMENT_EXECUTE|[1]
16:05:39.0 (28963959)|HEAP_ALLOCATE|[59]|Bytes:5
16:05:39.0 (28967025)|STATEMENT_EXECUTE|[15]
16:05:39.0 (28969174)|STATEMENT_EXECUTE|[16]
16:05:39.0 (28971245)|STATEMENT_EXECUTE|[17]
16:05:39.0 (28972755)|STATEMENT_EXECUTE|[18]
16:05:39.0 (28974133)|STATEMENT_EXECUTE|[19]
16:05:39.0 (28975512)|STATEMENT_EXECUTE|[20]
16:05:39.0 (28977035)|STATEMENT_EXECUTE|[21]
16:05:39.0 (28978406)|STATEMENT_EXECUTE|[22]
16:05:39.0 (28979896)|STATEMENT_EXECUTE|[23]
16:05:39.0 (28981251)|STATEMENT_EXECUTE|[24]
16:05:39.0 (28982629)|STATEMENT_EXECUTE|[25]
16:05:39.0 (28984110)|STATEMENT_EXECUTE|[26]
16:05:39.0 (28985496)|STATEMENT_EXECUTE|[27]
16:05:39.0 (28987396)|STATEMENT_EXECUTE|[28]
16:05:39.0 (28988890)|STATEMENT_EXECUTE|[30]
16:05:39.0 (28990366)|STATEMENT_EXECUTE|[31]
